id,url,bookTitle,bookImage,bookAuthors
30,https://www.goodreads.com/book/show/4667024-the-help,The Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618381771l/4667024._SY475_.jpg,Kathryn Stockett
31,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,Anne of Green Gables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578l/8127._SY475_.jpg,L.M. Montgomery
32,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617557451l/24178._SY475_.jpg,"E.B. White,Garth Williams,Rosemary Wells"
33,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684.jpg,Audrey Niffenegger
34,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX318_.jpg,John Steinbeck
35,https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993.jpg,"Antoine de Saint-Exupéry,Richard Howard,Ivan Minatti,Nguyễn Thành Vũ"
36,https://www.goodreads.com/book/show/17245.Dracula,Dracula,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg,"Bram Stoker,Nina Auerbach,David J. Skal"
37,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY475_.jpg,Aldous Huxley
38,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY475_.jpg,"J.K. Rowling,Mary GrandPré"
39,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320.jpg,"Gabriel García Márquez,Gregory Rabassa,Seçkin Selvi"
